leaderID,forceful,enabling,strategic,operational,vitality,productivity,effect
597,0.674982623,0.358277582,0.470790343,0.269256151,0.404656054,0.131110002,0.473286383
598,0.128029189,0.22391632,0.088555529,0.053181411,0.702334417,0.415334439,1.224744871
606,0.52132524,0.591919871,0.017840856,0.156153143,0.609559098,-0.111483708,0.577350269
607,0.14382631,0.134927478,0.061802806,0.059486389,0.407944558,0.131382401,0.497995984
609,0.591733701,0.076993265,0.306723913,0.122866805,0.518548605,-0.788231089,0.75
611,0.965799926,0.496149239,0.211120496,0.266000762,-0.489783007,-0.757477297,0.5
612,0.492152884,0.235329917,0.296997246,0.168272594,0.659340334,0.297495347,1.6673332
618,0.553517791,0.028843024,0.070271237,0.386024367,0.163335935,0.256409419,1.471960144
620,0.307764011,0.406647292,0.132243594,0.108666486,0.06063406,-0.535584131,1.493039406
621,0.112847558,0.525004686,0.32415576,0.255547512,0.144291008,0.109542976,0.288675135
623,0.598592409,0.5312746,0.043332231,0.015363983,-0.379727587,0.066136526,0.816496581
626,0.60982183,0.355560775,0.22910502,0.097274671,0.42370098,0.277976445,1.715938357
627,0.210589092,0.168259409,0.207340787,0.115103593,0.232012997,0.786017958,1.127312438
632,0.632978518,0.461672148,0.238303073,0.215404761,NA,NA,1.193733639
635,1.224291052,1.06857604,1.177474758,0.735651947,0.144291008,0.109542976,2.506966484
637,0.174742979,0.194665784,0.123604961,0.075772301,0.991670946,0.848943311,0.377964473
639,0.58689932,0.161374032,0.591210192,0.18697804,0.144291008,0.109542976,1.632993162
643,0.056197316,0.152318485,0.048904851,0.039942216,-0.615366941,0.046617623,0.531036722
647,0.359702103,0.159042071,0.356727278,0.092427582,0.736986666,0.682557965,0.934817591
648,0.237816272,0.141060727,0.174025954,0.09684901,0.746285787,0.942894855,1.108677891
650,0.404392805,0.209741766,0.256424215,0.175506611,-0.438658844,-0.576942459,0.715891053
652,0.68029569,0.525734633,0.333625035,0.015521305,-0.106328232,-0.025494496,1.154700538
656,0.393883151,0.446609276,0.319026723,0.150331043,-0.110393272,-0.056842369,1.108677891
657,NA,NA,NA,NA,0.21296807,0.639151515,0.645497224
659,0.880593056,0.749523906,0.033474319,0.080642307,0.159270895,0.225061546,1.436140662
661,0.510302676,0.439750278,0.372940319,0.174808753,0.492378042,0.807584983,0.643187746
